Team,Conference,Division,GP,PPG,OPPG,PDIFF,PACE,OEFF,DEFF,EDIFF,SOS,SAR,CONS,A4F,WINS,LOSS,WIN%,pWIN%,eWIN%,ACH,Year
Denver,West,Northwest,82,106.1,101.1,5,95.1,110.4,105.1,5.3,0.12,5.42,12.5,0.036,57,25,0.695,0.665,0.664,0.031,2013
Detroit,East,Central,82,94.9,98.8,-3.9,90.8,103.8,108.2,-4.4,-0.41,-4.81,15.9,-0.01,29,53,0.354,0.372,0.391,-0.037,2013
Golden State,West,Pacific,82,101.2,100.3,0.9,94.5,106.4,105.5,0.9,0.95,1.85,13,0.051,47,35,0.573,0.53,0.528,0.045,2013
Houston,West,Southwest,82,106,102.5,3.5,96.1,109.7,106.1,3.6,0.34,3.94,14.8,0.057,45,37,0.549,0.615,0.596,-0.047,2013
Indiana,East,Central,81,94.7,90.7,4,90.2,104.3,99.8,4.5,-1.26,3.24,13.6,0.068,49,32,0.605,0.632,0.63,-0.025,2013
LA Clippers,West,Pacific,82,101.1,94.6,6.5,91.1,110.7,103.6,7.1,-0.33,6.77,15.7,0.036,56,26,0.683,0.714,0.675,0.008,2013
LA Lakers,West,Pacific,82,102.2,101,1.2,94.4,107.9,106.6,1.3,0.14,1.44,12.9,0.053,45,37,0.549,0.54,0.54,0.009,2013
Memphis,West,Southwest,82,93.4,89.3,4.1,88.4,105,100.3,4.7,-0.84,3.86,13.2,-0.011,56,26,0.683,0.635,0.639,0.044,2013
Miami,East,Southeast,82,102.9,95,7.9,90.6,112.4,103.8,8.6,-0.51,8.09,13.3,0.078,66,16,0.805,0.76,0.741,0.064,2013
Milwaukee,East,Central,82,98.9,100.4,-1.5,94.7,103.7,105.2,-1.5,-0.27,-1.77,11.8,-0.046,38,44,0.463,0.451,0.45,0.013,2013
Minnesota,West,Northwest,82,95.7,98.1,-2.4,92.8,102.9,105.4,-2.5,0.46,-2.04,12.9,-0.07,31,51,0.378,0.421,0.423,-0.045,2013
New Orleans,West,Southwest,82,94.1,97.9,-3.8,88.5,105.7,110.1,-4.4,1.07,-3.33,14.3,-0.029,27,55,0.329,0.375,0.379,-0.05,2013
New York,East,Atlantic,82,100,95.7,4.3,89.8,111,106.3,4.7,-0.52,4.18,15,-0.024,54,28,0.659,0.642,0.623,0.036,2013
Oklahoma City,West,Northwest,82,105.7,96.5,9.2,93.3,112.4,102.6,9.8,-1.03,8.77,14.4,0.1,60,22,0.732,0.803,0.752,-0.02,2013
Orlando,East,Southeast,82,94.1,101.1,-7,92.2,101.6,109.2,-7.6,0.07,-7.53,14.1,-0.016,20,62,0.244,0.27,0.295,-0.051,2013
Philadelphia,East,Atlantic,82,93.2,96.5,-3.3,91,102,105.7,-3.7,0.02,-3.68,12.5,-0.04,34,48,0.415,0.391,0.384,0.031,2013
Phoenix,West,Pacific,82,95.2,101.6,-6.4,93.4,101.2,108.1,-6.9,2.38,-4.52,13.9,-0.054,25,57,0.305,0.289,0.31,-0.005,2013
Portland,West,Northwest,82,97.5,100.7,-3.2,91.4,105.7,109.2,-3.5,0.24,-3.26,13.4,-0.01,33,49,0.402,0.395,0.397,0.005,2013
Sacramento,West,Pacific,82,100.2,105.1,-4.9,93.7,106.2,111.4,-5.2,0.26,-4.94,16.7,-0.047,28,54,0.341,0.339,0.378,-0.037,2013
San Antonio,West,Southwest,82,103,96.6,6.4,94.2,108.3,101.6,6.7,-0.68,6.02,15.3,0.072,58,24,0.707,0.711,0.669,0.038,2013
Toronto,East,Atlantic,82,97.2,98.7,-1.5,90.4,105.9,107.5,-1.6,-0.02,-1.62,14.7,-0.026,34,48,0.415,0.451,0.457,-0.042,2013
Utah,West,Northwest,82,98,98.1,-0.1,90.9,106.7,106.8,-0.1,-0.14,-0.24,14.6,-0.015,43,39,0.524,0.497,0.497,0.027,2013
Washington,East,Southeast,82,93.2,95.8,-2.6,92.2,100.2,102.9,-2.7,0.03,-2.67,12.7,-0.008,29,53,0.354,0.414,0.416,-0.062,2013
Atlanta,East,Southeast,82,101,101.5,-0.5,94.6,105.9,106.4,-0.5,-0.39,-0.89,12.9,-0.001,38,44,0.463,0.484,0.485,-0.022,2014
Boston,East,Atlantic,82,96.2,100.7,-4.5,93.3,102.9,107.7,-4.8,-0.08,-4.88,13,-0.029,25,57,0.305,0.352,0.356,-0.051,2014
Brooklyn,East,Atlantic,82,98.5,99.5,-1,91.4,106.7,107.7,-1,0.33,-0.67,15.8,-0.016,44,38,0.537,0.467,0.475,0.062,2014
Charlotte,East,Southeast,82,96.9,97.1,-0.2,92.4,103.6,103.8,-0.2,0.29,0.09,14.1,-0.027,43,39,0.524,0.493,0.494,0.03,2014
Chicago,East,Central,82,93.7,91.8,1.9,90.2,102.5,100.5,2,-0.64,1.36,15.5,0.012,48,34,0.585,0.563,0.551,0.034,2014
Cleveland,East,Central,82,98.2,101.5,-3.3,93.1,104.2,107.7,-3.5,0.89,-2.61,14.1,-0.04,33,49,0.402,0.391,0.402,0,2014
Dallas,West,Southwest,82,104.8,102.4,2.4,93.5,111.3,108.7,2.6,0.27,2.87,12.1,-0.014,49,33,0.598,0.579,0.585,0.013,2014
Denver,West,Northwest,82,104.4,106.5,-2.1,98,106.1,108.2,-2.1,-0.07,-2.17,14.3,0.016,36,46,0.439,0.431,0.442,-0.003,2014
Detroit,East,Central,82,101,104.7,-3.7,94.9,105.9,109.7,-3.8,-0.28,-4.08,13.1,-0.059,29,53,0.354,0.378,0.386,-0.032,2014
Golden State,West,Pacific,82,104.3,99.5,4.8,96.2,107.6,102.6,5,0.34,5.34,13.3,0.066,51,31,0.622,0.658,0.646,-0.024,2014
Houston,West,Southwest,82,107.7,103.1,4.6,96.3,111,106.3,4.7,-0.09,4.61,13.9,0.092,54,28,0.659,0.651,0.632,0.027,2014
Indiana,East,Central,82,96.7,92.3,4.4,92.4,104.1,99.4,4.7,-1.42,3.28,14.8,0.067,56,26,0.683,0.645,0.625,0.058,2014
LA Clippers,West,Pacific,82,107.9,101,6.9,95.9,112.1,104.8,7.3,-0.07,7.23,14.8,0.046,57,25,0.695,0.727,0.689,0.006,2014
LA Lakers,West,Pacific,82,103,109.2,-6.2,98.6,104.2,110.6,-6.4,0.52,-5.88,13.5,-0.02,27,55,0.329,0.296,0.318,0.011,2014
Memphis,West,Southwest,82,96.1,94.6,1.5,89.9,106.3,104.6,1.7,0.24,1.94,12.8,-0.004,50,32,0.61,0.549,0.553,0.057,2014
Miami,East,Southeast,82,102.2,97.4,4.8,91.1,111,105.8,5.2,-0.71,4.49,12.2,0.035,54,28,0.659,0.658,0.665,-0.006,2014
Milwaukee,East,Central,82,95.5,103.7,-8.2,91.8,103,111.8,-8.8,0.1,-8.7,12.4,-0.056,15,67,0.183,0.23,0.239,-0.056,2014
Minnesota,West,Northwest,82,106.9,104.3,2.6,97.3,108.9,106.2,2.7,-0.19,2.51,14,-0.073,40,42,0.488,0.586,0.577,-0.089,2014
New Orleans,West,Southwest,82,99.7,102.4,-2.7,92.2,107.2,110.2,-3,0.12,-2.88,12.4,-0.037,34,48,0.415,0.411,0.404,0.011,2014
New York,East,Atlantic,82,98.6,99.4,-0.8,90.2,108.3,109.2,-0.9,-0.49,-1.39,17.7,-0.034,37,45,0.451,0.474,0.48,-0.029,2014
Oklahoma City,West,Northwest,82,106.2,99.8,6.4,95.4,110.5,103.9,6.6,-0.48,6.12,13,0.057,59,23,0.72,0.711,0.694,0.026,2014
Orlando,East,Southeast,82,96.5,102,-5.5,93.6,101.7,107.4,-5.7,-0.27,-5.97,12.7,-0.022,23,59,0.28,0.319,0.327,-0.047,2014
Philadelphia,East,Atlantic,82,99.5,109.9,-10.4,99.1,99.4,109.9,-10.5,-0.03,-10.53,12.8,-0.083,19,63,0.232,0.158,0.206,0.026,2014
Phoenix,West,Pacific,82,105.2,102.6,2.6,95.7,109.5,106.8,2.7,-0.42,2.28,11.4,0.036,48,34,0.585,0.586,0.593,-0.008,2014
Portland,West,Northwest,82,106.7,102.8,3.9,94.9,111.5,107.4,4.1,0.21,4.31,12.5,0.047,54,28,0.659,0.628,0.628,0.031,2014
Sacramento,West,Pacific,82,100.5,103.4,-2.9,94.4,105.7,108.8,-3.1,0.35,-2.75,13.6,-0.02,28,54,0.341,0.405,0.41,-0.069,2014
San Antonio,West,Southwest,82,105.4,97.6,7.8,95,110.5,102.4,8.1,-1.02,7.08,14,0.092,62,20,0.756,0.757,0.719,0.037,2014
Toronto,East,Atlantic,82,101.3,98,3.3,91.8,108.8,105.3,3.5,0.06,3.56,11.4,0.005,48,34,0.585,0.609,0.621,-0.036,2014
Utah,West,Northwest,82,95,102.2,-7.2,91.4,103.5,111.3,-7.8,1.86,-5.94,14.6,-0.032,25,57,0.305,0.263,0.297,0.008,2014
Washington,East,Southeast,82,100.7,99.4,1.3,93.2,106,104.7,1.3,-0.2,1.1,11.6,-0.01,44,38,0.537,0.543,0.545,-0.008,2014
Atlanta,East,Southeast,82,102.5,97.1,5.4,93.9,108.9,103.1,5.8,-1.2,4.6,12.9,0.027,60,22,0.732,0.678,0.674,0.058,2015
Boston,East,Atlantic,82,101.4,101.2,0.2,95.8,104.7,104.5,0.2,-0.93,-0.73,11.7,-0.02,40,42,0.488,0.507,0.507,-0.019,2015
Brooklyn,East,Atlantic,82,98,100.9,-2.9,92.8,104.4,107.4,-3,0.15,-2.85,16.1,-0.028,38,44,0.463,0.405,0.426,0.037,2015
